"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 11 01:39:11 GMT+04:00 2026","Thu Jun 11 01:39:11 GMT+04:00 2026","264","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
"passed","Thu Jun 11 01:40:45 GMT+04:00 2026","Thu Jun 11 01:40:48 GMT+04:00 2026","2196","tests","test_order","TestScooterOrder","","","Проверка оформления заказа самоката",""
"passed","Thu Jun 11 01:39:31 GMT+04:00 2026","Thu Jun 11 01:39:31 GMT+04:00 2026","268","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
"passed","Thu Jun 11 01:39:41 GMT+04:00 2026","Thu Jun 11 01:39:41 GMT+04:00 2026","263","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
"passed","Thu Jun 11 01:40:23 GMT+04:00 2026","Thu Jun 11 01:40:24 GMT+04:00 2026","1212","tests","test_logo","TestLogo","","","Проверка перехода на страницу 'Dzen' по логотипу 'Яндекс'",""
"passed","Thu Jun 11 01:38:41 GMT+04:00 2026","Thu Jun 11 01:38:41 GMT+04:00 2026","267","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
"passed","Thu Jun 11 01:40:34 GMT+04:00 2026","Thu Jun 11 01:40:36 GMT+04:00 2026","2182","tests","test_order","TestScooterOrder","","","Проверка оформления заказа самоката",""
"passed","Thu Jun 11 01:39:51 GMT+04:00 2026","Thu Jun 11 01:39:51 GMT+04:00 2026","260","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
"passed","Thu Jun 11 01:40:01 GMT+04:00 2026","Thu Jun 11 01:40:02 GMT+04:00 2026","290","tests","test_logo","TestLogo","","","Проверка перехода на главную страницу по логотипу 'Самокат'",""
"passed","Thu Jun 11 01:39:01 GMT+04:00 2026","Thu Jun 11 01:39:01 GMT+04:00 2026","283","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
"passed","Thu Jun 11 01:39:21 GMT+04:00 2026","Thu Jun 11 01:39:22 GMT+04:00 2026","283","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
"passed","Thu Jun 11 01:38:51 GMT+04:00 2026","Thu Jun 11 01:38:51 GMT+04:00 2026","328","tests","test_faq","TestFAQ","","","Проверка блока Вопросы о важном","При нажатии на вопрос - открывается ответ"
